Player,Picks Taken Per Game,Picks Set Per Game,Minutes (Total),SSI Player ID
D.J. Carton,16.868,0.526,990,b902fc9f-4b1a-417f-8af7-bfa5c66c95a3
Jase Richardson,11.000,0.500,56,1cc4e557-6ed1-4db5-8816-1c00724e5554
Chris Youngblood,11.154,6.346,753,35206de4-a3c1-415a-b596-126c0ab7b44a
Au'Diese Toney,1.967,3.833,775,a127ee52-bbec-46b6-990c-93a2c3d57b87
Justin Harmon,2.556,2.533,912,4c8abee4-0270-4d98-b4ab-cff9969857fc
Dexter Dennis,5.362,3.553,1380,b9d78738-9b74-4fdb-9c3f-bce9cb72377a
Chaney Johnson,0.865,7.973,856,4007e9ee-5f46-4b39-9d77-0001aa54f1f4
Dwight Murray, Jr.,15.783,0.587,920,7880b823-77c5-4925-a287-1af2424a923b
William Hickey,6.333,1.000,32,5673cf85-4703-43f8-b541-dd3923d4c42b
Boo Buie III,26.512,1.930,1224,2327ad6b-a87c-4b5c-8dbb-c64690426e98
John Poulakidas,1.841,5.114,1071,12bf97f3-6476-4443-af11-5228771faf66
Jared McCain,19.333,1.667,62,eb79ea6c-b337-448d-ac33-7e92219822ef
Kam Jones,18.429,0.429,181,93ff04cb-5390-4709-a521-c7ce58713f31
Ruben Nembhard Jr.,21.342,1.342,947,27574eb5-d76b-4147-882e-38f3edc014b3
Zyon Pullin,24.652,0.870,704,21f03dac-c84d-48c5-80ce-a54781f63914
Jayden Nunn,14.396,1.625,1166,174b4cc1-dd31-428b-97ad-093422ffe324
Jaden Shackelford,13.500,7.024,1257,dfffb2fc-160c-41a4-9a75-af0a21d2ba76
Ron Harper Jr.,14.222,4.333,485,0fc9db0f-ca5e-49e9-a003-973fa4fd8839
Matt Becht,0.000,0.500,7,37e8858f-5f40-4a44-8f60-2f6e2316aae8
David Jones Garcia,9.750,1.938,455,8207e744-783c-4fac-8d78-52acb829f00c
Elijah Cain,0.571,3.286,76,2ce0583b-9426-44be-820b-de29934964ee
Damion Baugh,31.088,3.618,1037,bcde43ef-a7dd-4d4d-9d7e-a0585052e0b9
Quenton Jackson,14.500,0.500,40,2916816a-1e08-43ef-953d-a81bfe3503ee
Kendall Brown,4.045,4.409,1217,84863ea4-7e22-4827-9c1e-091a16291b37
RJ Felton,1.872,1.487,685,a593fa2b-cb79-4f8a-8139-bba7a2133f2c
Cameron Tyson,2.286,1.571,85,18ede5d3-f2de-4f9f-a9c3-ffe37ac43566
Tony Carr,3.500,0.500,28,4eb5e112-86bc-45b5-a081-deb3f3aa0b67
Charlie Brown Jr.,9.044,2.289,1256,dfa6209b-514d-438b-9c4c-bd6f1ff85613
Alex Morales,7.022,6.413,1359,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Deivon Smith,18.000,0.250,525,9ffb6f28-8fa0-4650-bd30-47f8aa7235a2
Jarkel Joiner,17.980,1.240,1045,994212e5-17be-4696-bd46-0efcd68787bc
Ryan Nembhard,42.833,2.833,180,f43050bf-10e7-4919-95a0-272b4c616687
Jaykwon Walton,1.556,1.056,191,59731b4a-481f-4699-a3fe-f39676cc079b
Jon Elmore,19.980,2.627,1253,65bebd10-aa65-48ec-845f-2efcb122287a
Lance Terry,1.444,0.444,165,2c5a45b8-029d-4556-9186-221becde7ae7
Jermaine Couisnard,1.778,0.333,103,395250e2-3fc7-41ec-b3e5-be2b920a6458
JD Davison,32.714,2.143,223,833b573b-1366-463c-92ea-56e7718c0dc6
Esteban Ezequiel Roacho Amador,0.444,1.000,108,2d23e4fc-8b5f-4131-af0f-83b0ae3a2c69
Noah Penda,4.000,8.667,79,8257785f-b06f-4feb-a7c3-c58c4fbf99d7
Hayden Gray,18.265,2.571,1194,e901ec95-f7cf-40c9-af32-8dabb981b3cd
Jameer Nelson Jr.,14.481,0.926,599,55218f5a-96d0-455d-953e-1af096389bc1
Jahmyl Telfort,4.625,3.521,1422,f7cdd34f-d626-4902-b05a-e39f9ae32dd4
Jalen Crutcher,20.980,1.460,1465,938ea26e-95ff-4f3b-a385-a965af8195b4
Johnell Davis,1.563,2.438,371,7ddd09bd-a98c-468f-ac39-239c33fe8d79
Stephen Thompson,12.930,1.884,1185,41e105ed-f146-4aef-a65b-262abde1841e
Sean East II,19.420,2.740,1248,673bd14c-085f-4173-9211-d62ae307b0e3
Adou Thiero,1.833,1.667,229,9b945fc0-d3bb-405d-bf43-95c6e7d7e87b
