Shooter,Shots Attempted,qSI,SSI Player ID
James Akinjo,48,-4.68,889010b1-1e41-4488-97c5-030be0d70083
Zyon Pullin,48,12.06,21f03dac-c84d-48c5-80ce-a54781f63914
Orlando Robinson,48,-10.73,e58d10b8-dbfa-46bc-9b80-d078501bcce7
Isaiah Hawthorne,48,7.22,e186218b-ea58-4542-af85-ac121949c255
Chucky Hepburn,48,5.70,4ac4a0ab-ea85-4870-8bd5-9670073a3df4
Justyn Hamilton,47,-7.71,7be325aa-4951-4bc9-948d-d4177d4cbb1c
Nick Smith Jr.,47,25.15,b2d1fbf7-72be-4469-b0c2-db6677a145bd
Garrett Denbow,45,-5.01,13631116-cd60-4bc0-9a41-6fed5d44b41c
KJ Simpson,45,-5.72,1287087b-e6ba-41f9-b2b5-a3d2d1c8d682
Keshad Johnson,45,19.59,c5cb7e86-5c88-4bd2-bf14-22a65e7bd094
Antoine Davis,45,8.30,cc05d44b-5260-48a3-b9b6-61ce282a67c0
Reynan dos Santos,44,0.99,e3cdc093-14ad-4686-ade9-7fc70c5a5a88
Keyshawn Bryant,44,-14.58,8bfb0e3f-2c04-4dd5-ab0d-c7bf453b1ed5
Quincy Guerrier,44,-8.38,e7a09800-4dd6-4745-8dc3-2bb848800f9e
Charles Bassey,43,5.07,089bae1f-5cd7-438c-8ebb-061918727a25
Keon Johnson,43,0.56,7cfacef2-8c7b-41e7-9df3-4a570a6de468
Craig Randall II,43,-14.92,57c94d1b-101e-4b0a-afc5-d9716233e92d
Keshon Gilbert,41,-21.74,10762d58-0a4c-416e-8e01-0af744c29286
Riley Grigsby,41,-6.41,5b7fafbf-2163-4b93-a29d-fc83e9946914
Lachlan Olbrich,41,-8.64,684950fe-3bcb-47f2-8bfa-a9941e216b28
Michael O'Connell,41,-15.88,e4133038-cf2f-4227-a6d5-566eb968a245
Garrison Brooks,41,3.73,146c7c56-b7ad-4925-8a9e-93d2c5db55bc
Augustas Marciulionis,40,2.76,89ff2dfc-818b-4d2a-beba-efe0422f6d4c
Dereon Seabron,40,-15.00,9cd83bc4-5c2c-4f4d-ba20-8fc69a4cfa8a
AJ Johnson,39,-7.74,2b0ac9c2-0fa5-4ee6-9881-03b737e11dc3
Adam Flagler,39,-11.88,60b1ff6f-7e65-4d93-8b0b-fe76747cb0db
Jamir Watkins,39,-18.24,84ba6ce6-9c37-4225-8f84-14a5cbacea65
Tyrese Hunter,38,-3.99,4f89702e-6e19-48ef-9be1-8da8a0837a2f
Patrick McCaw,38,-24.07,ff42a38f-89ef-11e6-bb23-a45e60e298d3
Trey Townsend,38,-3.63,32735ab8-9eea-40c1-93be-395428840de8
Jamal Cain,37,-6.01,f42a8b63-1ab4-447f-b74f-be293fc58e99
Dajuan Harris,36,-17.88,51b4a0a5-880c-48d7-a342-2b25ec6cc206
William Baker,36,5.12,dc9d21e3-68f0-4270-a358-8e68da5bbafc
Jaykwon Walton,36,-19.30,59731b4a-481f-4699-a3fe-f39676cc079b
Yuri Collins,35,-9.00,7a58adf5-73d4-4f5e-b042-6ab0d8862313
Yang Hansen,35,3.25,c6156c46-4275-4470-bed6-6c382811ef91
Micah Parrish,35,-10.72,a233b4d2-746c-48be-9d0d-ce655385c605
Jack Gohlke,34,-16.40,20e6b7dc-2172-4ce5-a2c7-f61c3c89d703
Zach Hicks,34,0.61,8e62f792-31da-4509-a4a8-d0bd4144b94a
Ricky Council IV,34,12.60,9027d4b5-4d3d-4ee2-98cd-3d105aa7044b
Danny Wolf,34,0.15,0b1b2334-050a-4f4e-bae7-3865147c950f
Isaih Moore,34,-16.67,ea2cbcac-0b28-454f-a3f7-a30bb1d6fbb1
Steven Richardson,33,-14.18,1baa93ad-ae20-4faf-b428-11c4aac33778
