Shooter,Shots Attempted,qSI,qSI (sum),SSI Player ID
D.J. Carton,208,-9.25,-1924.96,b902fc9f-4b1a-417f-8af7-bfa5c66c95a3
Ruben Nembhard Jr.,208,-16.04,-3336.20,27574eb5-d76b-4147-882e-38f3edc014b3
Tevian Jones,207,3.36,696.34,1d44afa0-7106-441c-b8ed-cc5e216e866b
Harrison Ingram,206,-4.21,-866.84,289b86f4-5aea-4603-a5e7-54793e5eb584
Miller Kopp,205,4.38,897.00,817c559a-6812-42ce-8373-1e8132f3b917
Jordan Hall,203,-3.07,-622.47,4b98be48-a61f-4372-8f5d-25f914555a83
Alex Schumacher,202,-9.43,-1905.54,74b58589-0ca1-4a71-ac83-93c57a2e8b83
Efe Abogidi,202,-2.99,-603.28,2a962d8e-05d1-4d9c-ae45-e128f2ae9c81
David Jones Garcia,199,-4.78,-950.33,8207e744-783c-4fac-8d78-52acb829f00c
Saint Thomas,199,-0.02,-4.54,9ac60fc8-a677-4c67-8b1a-92c61ac71eec
RJ Felton,198,-0.99,-196.96,a593fa2b-cb79-4f8a-8139-bba7a2133f2c
MJ Walker,198,-3.59,-711.27,2733a0f6-5816-47e9-9972-a4f253f15038
John Butler Jr.,197,-0.74,-145.65,16110c22-e5e0-4925-94a9-959285132aeb
Justin Harmon,197,1.32,259.63,4c8abee4-0270-4d98-b4ab-cff9969857fc
Hunter Sallis,195,-7.24,-1412.12,6d6c60fb-827b-4b00-9033-8fb8a4fb0f32
Pacome Dadiet,195,-1.25,-242.89,810fd8fe-5999-4962-9441-004f4a25fea2
Buddy Boeheim,194,9.34,1812.88,b19737e4-2806-4548-b14b-2062175fb05e
JaQuori McLaughlin,193,0.21,39.68,a05930e9-6846-4c42-b5d6-f859b92d97fd
Andrew Carr,192,-0.86,-164.28,d2f39898-17d1-4d74-bfca-1719672b051a
Victor Oladipo,190,-10.72,-2037.07,ff415fa8-89ef-11e6-bc85-a45e60e298d3
Paul Zilinskas,190,2.01,382.22,fb3799f7-55e6-46cd-8dba-16e86ee83d37
Erik Reynolds II,189,-2.11,-398.01,f3572151-dba9-4dc4-a48a-792e17a3180b
Isaiah Roby,189,0.68,128.75,19602b62-cfbe-4d35-81f5-bc244327960e
Johni Broome,189,-4.89,-923.79,12c34cc3-1005-4454-bcfa-a5332744fd4c
Leaky Black,189,2.80,529.07,baf1b89d-5bf9-44d8-ae08-43b643b89914
Terrence Hargrove Jr.,186,-5.94,-1104.76,06c40ea5-9150-470e-8f6a-7cde4a102ef6
Enrique Freeman,186,-1.75,-325.36,f838df3f-72c5-4cf1-a555-7182e3dccd13
Justin Minaya,186,-11.49,-2136.88,8a534421-7dd1-49c4-a304-7b5a2341f904
Kessler Edwards,185,6.99,1292.27,0dbaa8bb-491d-40b7-ad09-f4605dda699c
Luke Goode,183,-0.44,-80.61,4144db18-4210-42b8-af58-fd1dd83e87c6
DeJon Jarreau,183,-6.70,-1226.73,3cd02b89-3d2f-46ff-b392-29215f6825b4
Malachi Smith,182,7.41,1349.12,cf11631f-67ad-4f08-9466-e66859baa68e
Alize Johnson,181,7.38,1336.68,c97ec77d-b190-477c-8f04-2d8be4554830
Ethan Thompson,181,9.63,1742.68,e303b1cc-a268-4f85-8063-e447c757ede6
Nate Hinton,181,-7.12,-1288.09,2827a99a-9a36-4b8d-8ca8-e77e9771b69c
Alex Morales,180,1.42,255.93,21a9c7c7-f211-4710-9932-3ecfa2fd4256
Marcus Burk,179,2.95,527.81,017ced69-5d96-4160-b064-3a051a5c9efe
RJ Melendez,179,-4.02,-718.72,090cc6af-edb2-4cf8-a374-9b90193c330d
AJ Hoggard,178,1.42,253.48,91fbbfa3-eabc-4c5d-b0d0-b2fc674c84bb
Keyontae Johnson,178,0.79,140.00,d5348336-15a5-416f-8312-bd7030a6277b
Payton Sandfort,177,-0.07,-12.49,54f7a3fd-6e94-4630-9ca3-e05af980008d
David Roddy,176,9.40,1654.87,ab0a4d97-fd7b-40d9-a72f-b2a862039584
Zhaire Smith,175,5.54,969.79,bf29165e-4d8e-4760-a070-5502dd6c2176
Olivier Sarr,172,7.92,1361.83,584a880d-84b9-40fd-876e-852044392606
Arthur Kaluma,172,6.65,1143.36,c7a03fd4-8ba5-4f9e-b62d-db9492da6f1c
Trey Galloway,172,-3.55,-610.20,8303a10f-1748-43ee-9c4c-59abdffdaf87
Bobi Klintman,171,6.82,1166.84,61c18542-cf37-49c7-b486-337bb809d326
Cameron Matthews,171,-13.15,-2249.35,2b3321e5-dc2b-4c37-9ee5-36336690c3ec
Johnny Davis,170,-5.25,-892.54,bd507dbb-cb87-4e45-ad2e-1990df07ac20
Tyler Smith,170,1.37,233.51,b701694c-6da2-49de-b9a7-ae092466ce67
Emanuel Miller,170,-4.22,-717.07,9333d369-df08-4c59-9073-3164d584f481
Taelon Peter,169,0.00,0.58,c870f7e6-686b-40b6-859c-ced3b397cbd8
