Shooter,Shots Attempted,qSI (sum),SSI Player ID
Jackson Rowe,27,261.01,87777cd1-2099-4edd-8256-f29343fa0fd4
Jonas Aidoo,62,259.38,18e9a256-6619-4a10-a5dd-2c89bb7cfb0a
Chase Jeter,55,253.53,ea3ac175-ec80-45da-aa31-7c38b04c7657
Ruben Nembhard Jr.,116,252.22,27574eb5-d76b-4147-882e-38f3edc014b3
Hunter Cattoor,14,250.65,3b01bc5d-08ef-4a1a-afff-52c5c9f81849
Patrick McCaw,21,250.57,ff42a38f-89ef-11e6-bb23-a45e60e298d3
Jon Elmore,66,249.24,65bebd10-aa65-48ec-845f-2efcb122287a
Eli John Ndiaye,12,245.92,541d7cbf-04ae-40eb-9401-fc9f1fffdcf2
Nate Hinton,152,241.76,2827a99a-9a36-4b8d-8ca8-e77e9771b69c
Koby Brea,26,241.24,e2c4bc9d-2cb8-49d6-962a-07bed124b6c8
David Muoka,120,236.00,c5a7468d-b9c2-4814-a823-b9bf4a58358f
Dariq Whitehead,62,231.30,9f8b2ee3-8cc5-4a92-aeb9-c8c52d6e37a2
Charles Bassey,109,230.71,089bae1f-5cd7-438c-8ebb-061918727a25
Dalen Terry,14,229.38,8fc64d15-1d47-47e1-bb04-d03f75dccc5a
Pedro Bradshaw,28,228.34,881e8c41-f4cb-44fa-9caa-782d1e294daf
Paul Zilinskas,29,223.32,fb3799f7-55e6-46cd-8dba-16e86ee83d37
James Akinjo,30,223.03,889010b1-1e41-4488-97c5-030be0d70083
Efe Abogidi,169,222.86,2a962d8e-05d1-4d9c-ae45-e128f2ae9c81
Marcus Burk,28,222.08,017ced69-5d96-4160-b064-3a051a5c9efe
Micah Potter,59,221.69,1e89c60d-b20e-4499-aba4-b13dba295a52
Phillip Wheeler,191,209.04,3d20e735-543b-415b-835b-fa80295fa157
Michael O'Connell,17,208.84,e4133038-cf2f-4227-a6d5-566eb968a245
Omar El-Sheikh,34,206.48,bdfadf82-2b4c-44e8-ae46-a6e3c9957744
JD Davison,32,204.83,833b573b-1366-463c-92ea-56e7718c0dc6
Sharife Cooper,58,204.24,2d470912-d9ac-4456-916c-372fc4c84cdc
Jamir Watkins,18,201.85,84ba6ce6-9c37-4225-8f84-14a5cbacea65
Taylor Funk,43,201.17,951413b1-0a17-4edf-841a-5ca7b9a2c275
Ja'Vier Francis,161,198.14,426de6ba-834c-455a-8c94-9656ad089275
Cam Carter,88,196.85,a183c842-9603-4691-9abd-612235152ad2
E.J. Liddell,77,196.21,f76c835b-10f6-42aa-aafe-3c87b5be8866
John Poulakidas,14,195.23,12bf97f3-6476-4443-af11-5228771faf66
